id,observed_on,user_id,latitude,longitude,place_county_name,scientific_name,taxon_id,taxon_family_name
1343360,2015-03-23,85726,32.2331861111,-110.9929972222,Pima,Anthanassa texana,132339,Nymphalidae
1343397,2015-03-23,85726,32.2331861111,-110.9929972222,Pima,Anthanassa texana,132339,Nymphalidae
1377971,2015-04-08,88451,32.233149,-110.992649,Pima,Anthanassa texana,132339,Nymphalidae
1395240,2015-04-11,24754,32.226235,-110.908613,Pima,Anthanassa texana,132339,Nymphalidae
1532200,2015-03-12,104316,32.231885,-110.950109,Pima,Anthanassa texana,132339,Nymphalidae
1821169,2015-07-27,27743,32.278349,-111.022941,Pima,Danaus gilippus,51743,Nymphalidae
1821170,2015-07-27,27743,32.278349,-111.022941,Pima,Danaus gilippus,51743,Nymphalidae
1821171,2015-07-27,27743,32.278349,-111.022941,Pima,Battus philenor,49972,Papilionidae
1821172,2015-07-27,27743,32.278349,-111.022941,Pima,Asterocampa leilia,148793,Nymphalidae
1821173,2015-07-27,27743,32.278349,-111.022941,Pima,Libytheana carinenta,58561,Nymphalidae
1837716,2015-07-27,8778,32.2794083333,-111.0226138333,Pima,Ministrymon leda,225163,Lycaenidae
1839498,2015-07-27,8778,32.278349,-111.022941,Pima,Danaus gilippus,51743,Nymphalidae
1839521,2015-07-27,8778,32.278349,-111.022941,Pima,Asterocampa celtis,68264,Nymphalidae
1958097,2015-07-27,10285,32.278889,-111.022049,Pima,Battus philenor,49972,Papilionidae
1958098,2015-07-27,10285,32.278889,-111.022049,Pima,Danaus gilippus,51743,Nymphalidae
1969638,2015-07-27,10285,32.278889,-111.022049,Pima,Asterocampa leilia,148793,Nymphalidae
2074216,2015-09-30,139783,32.22174,-110.92648,Pima,Libytheana carinenta,58561,Nymphalidae
2560346,2016-01-06,20834,32.2851533333,-111.0368416667,Pima,Pontia protodice,59119,Pieridae
2562910,2016-01-06,20834,32.211458,-110.992399,Pima,Vanessa cardui,48548,Nymphalidae
