id,observed_on,user_id,latitude,longitude,place_county_name,scientific_name,taxon_id,taxon_family_name
10009,2007-09-23,516,33.4513155,-111.9501414,Maricopa,Danaus gilippus,51743,Nymphalidae
10010,2007-09-23,516,33.4513155,-111.9501414,Maricopa,Battus philenor,49972,Papilionidae
10011,2007-09-23,516,33.4513155,-111.9501414,Maricopa,Abaeis nicippe,81727,Pieridae
10012,2007-09-23,516,33.4513155,-111.9501414,Maricopa,Hylephila phyleus,50340,Hesperiidae
10017,2009-08-15,516,33.4306088,-111.0270616,Pinal,Adelpha eulalia,67559,Nymphalidae
19064,2010-06-01,873,31.8214758,-110.3222981,Cochise,Limenitis arthemis arizonensis,60606,Nymphalidae
19066,2010-06-01,873,31.59222,-109.24,Cochise,Battus philenor,49972,Papilionidae
19072,2010-06-01,873,31.539864,-110.736651,Santa Cruz,Phoebis sennae,48550,Pieridae
37225,2011-08-05,3283,36.2090724073,-112.0614480972,Coconino,Lycaena arota,59123,Lycaenidae
50196,2008-07-26,4358,31.7748776185,-109.3359375,Cochise,Papilio multicaudata,68263,Papilionidae
85832,2007-11-12,3785,32.248549,-110.947344,Pima,Zerene cesonia,129362,Pieridae
85838,2008-08-23,3785,32.415308,-110.706529,Pima,Apyrrothrix araxes,129365,Hesperiidae
85839,2007-07-29,3785,32.417754,-110.709893,Pima,Phyciodes mylitta,59176,Nymphalidae
85840,2008-08-23,3785,32.415308,-110.706529,Pima,Battus philenor,49972,Papilionidae
85843,2007-11-12,3785,32.248549,-110.947344,Pima,Calephelis nemesis,129363,Riodinidae
85845,2008-05-03,3785,32.344944,-110.666742,Pima,Celastrina echo,52484,Lycaenidae
85848,2007-11-12,3785,32.248549,-110.947344,Pima,Brephidium exilis,53843,Lycaenidae
85849,2007-07-29,3785,32.414076,-110.704297,Pima,Celastrina echo,52484,Lycaenidae
85855,2008-06-03,3785,32.23332,-110.95075,Pima,Pontia protodice,59119,Pieridae
85898,2008-05-23,3785,32.248549,-110.947344,Pima,Leptotes marina,59152,Lycaenidae
85904,2008-10-11,3785,32.34052,-110.674552,Pima,Cyllopsis pyracmon henshawi,235530,Nymphalidae
85910,2008-08-23,3785,32.437794,-110.761394,Pima,Celastrina echo,52484,Lycaenidae
85911,2008-10-18,3785,32.23372,-110.950568,Pima,Hylephila phyleus,50340,Hesperiidae
86005,2007-11-10,3785,32.339224,-110.686933,Pima,Adelpha eulalia,67559,Nymphalidae
86020,2008-08-16,3785,32.215331,-110.919266,Pima,Hylephila phyleus,50340,Hesperiidae
86024,2008-08-16,3785,32.216302,-110.920865,Pima,Copaeodes aurantiaca,129415,Hesperiidae
95438,2008-08-09,3785,32.341742,-110.683618,Pima,Staphylus ceos,132077,Hesperiidae
95474,2008-08-09,3785,32.340754,-110.685249,Pima,Danaus gilippus,51743,Nymphalidae
110149,2007-08-03,3283,31.723409,-110.880416,Santa Cruz,Staphylus ceos,132077,Hesperiidae
110157,2007-07-31,3283,33.392466,-109.313964,Greenlee,Amblyscirtes aenus,143146,Hesperiidae
110167,2007-07-29,3283,35.5313224,-109.3783206,Apache,Callophrys spinetorum,59144,Lycaenidae
116225,2011-05-14,8641,36.079193,-112.120349,Coconino,Erynnis telemachus,146611,Hesperiidae
119319,2012-09-02,8778,31.4165047428,-110.2781438828,Cochise,Adelpha eulalia,67559,Nymphalidae
124548,2012-09-17,8325,31.883473563,-109.2070777902,Cochise,Chlosyne lacinia,68240,Nymphalidae
125067,2012-09-18,8325,31.9015438011,-109.2319953645,Cochise,Nathalis iole,51773,Pieridae
125068,2012-09-18,8325,31.9004507955,-109.2267596925,Cochise,Colias eurytheme,58532,Pieridae
125069,2012-09-18,8325,31.9014345011,-109.2316949571,Cochise,Leptotes marina,59152,Lycaenidae
125070,2012-09-18,8325,31.9014345011,-109.2316949571,Cochise,Cyllopsis pertepida,129393,Nymphalidae
125071,2012-09-18,8325,31.9078829771,-109.2492258752,Cochise,Vanessa virginiensis,48549,Nymphalidae
125072,2012-09-18,8325,31.9078829771,-109.2492258752,Cochise,Polygonia satyrus,56644,Nymphalidae
125073,2012-09-18,8325,31.9078829771,-109.2492258752,Cochise,Vanessa atalanta,49133,Nymphalidae
125074,2012-09-18,8325,31.9078829771,-109.2492258752,Cochise,Adelpha eulalia,67559,Nymphalidae
125076,2012-09-18,8325,31.9357847316,-109.2793524468,Cochise,Echinargus isola,118914,Lycaenidae
125077,2012-09-18,8325,31.9357847316,-109.2793524468,Cochise,Abaeis nicippe,81727,Pieridae
125078,2012-09-18,8325,31.9484351685,-109.307907244,Cochise,Libytheana carinenta,58561,Nymphalidae
125079,2012-09-18,8325,31.9484351685,-109.307907244,Cochise,Junonia coenia,48505,Nymphalidae
125080,2012-09-18,8325,31.9421352046,-109.2949682677,Cochise,Phyciodes mylitta,59176,Nymphalidae
125081,2012-09-18,8325,31.9421352046,-109.2949682677,Cochise,Euptoieta claudia,68244,Nymphalidae
125082,2012-09-18,8325,31.9699173458,-109.3209749663,Cochise,Chlosyne lacinia,68240,Nymphalidae
125083,2012-09-18,8325,31.9581209756,-109.3124777282,Cochise,Pontia protodice,59119,Pieridae
126007,2009-07-04,8641,36.208926,-112.03528,Coconino,Limenitis weidemeyerii,68251,Nymphalidae
127677,2012-09-17,3785,32.338508,-110.687513,Pima,Hemiargus ceraunus,69940,Lycaenidae
131228,2012-09-18,3785,32.33926,-110.68649,Pima,Asterocampa leilia,148793,Nymphalidae
134321,2012-09-18,3785,32.339224,-110.686933,Pima,Hemiargus ceraunus,69940,Lycaenidae
136762,2010-08-17,10285,31.4536569907,-110.3761249781,Cochise,Adelpha eulalia,67559,Nymphalidae
136787,2008-08-07,10285,31.4535677551,-110.3762751818,Cochise,Chlosyne lacinia,68240,Nymphalidae
136799,2008-08-07,10285,31.4535274544,-110.3762614554,Cochise,Lerodea eufala,59195,Hesperiidae
136822,2008-08-07,10285,31.4158615319,-110.2764514089,Cochise,Chlosyne lacinia,68240,Nymphalidae
136833,2008-08-10,10285,31.4158615319,-110.2764514089,Cochise,Phyciodes mylitta,59176,Nymphalidae
136859,2008-08-07,10285,31.3900493415,-110.24012357,Cochise,Phoebis sennae,48550,Pieridae
141528,2012-09-18,3785,32.347897,-110.678801,Pima,Adelpha eulalia,67559,Nymphalidae
141529,2012-09-18,3785,32.346492,-110.679359,Pima,Adelpha eulalia,67559,Nymphalidae
141530,2012-09-18,3785,32.345631,-110.678919,Pima,Leptotes marina,59152,Lycaenidae
141531,2012-09-18,3785,32.347083,-110.678844,Pima,Leptotes marina,59152,Lycaenidae
141532,2012-09-18,3785,32.347897,-110.678801,Pima,Hemiargus ceraunus,69940,Lycaenidae
142935,2010-08-14,10285,32.0054606,-109.3566656,Cochise,Adelpha eulalia,67559,Nymphalidae
144312,2008-08-06,10285,31.5397640171,-110.7548260689,Santa Cruz,Battus philenor,49972,Papilionidae
144316,2008-08-06,10285,31.5397640171,-110.7548260689,Santa Cruz,Eurema mexicana,122374,Pieridae
145315,2009-07-03,10285,31.5478992,-110.1408997,Cochise,Junonia coenia grisea,541992,Nymphalidae
145316,2009-07-03,10285,31.5478992,-110.1408997,Cochise,Leptotes marina,59152,Lycaenidae
145322,2009-07-03,10285,31.5478992,-110.1408997,Cochise,Danaus gilippus,51743,Nymphalidae
145332,2008-08-08,10285,31.5478992,-110.1408997,Cochise,Pontia protodice,59119,Pieridae
145335,2008-08-08,10285,31.5478992,-110.1408997,Cochise,Calephelis nemesis,129363,Riodinidae
145337,2008-08-08,10285,31.5478992,-110.1408997,Cochise,Phoebis sennae,48550,Pieridae
145415,2008-08-10,10285,31.5292753,-110.2565575,Cochise,Libytheana carinenta,58561,Nymphalidae
145787,2007-06-25,9531,35.2340719041,-111.6649179005,Coconino,Limenitis weidemeyerii,68251,Nymphalidae
145922,2007-06-29,9531,32.0077023,-109.361331,Cochise,Autochton cellus,127928,Hesperiidae
145923,2007-06-29,9531,32.0077023,-109.361331,Cochise,Megisto rubricata,182997,Nymphalidae
147460,2007-09-24,10285,33.45972,-111.945883,Maricopa,Danaus gilippus,51743,Nymphalidae
148164,2012-11-06,4623,34.953722,-112.931194,Yavapai,Vanessa cardui,48548,Nymphalidae
148260,2012-11-07,4623,35.3076069655,-111.7156633757,Coconino,Euptoieta claudia,68244,Nymphalidae
148676,2008-08-09,10285,31.4482569,-110.3067604,Cochise,Emesis zela,193851,Riodinidae
152027,2012-09-18,3785,32.346111,-110.679906,Pima,Limenitis arthemis arizonensis,60606,Nymphalidae
152028,2012-09-18,3785,32.340401,-110.685646,Pima,Megisto rubricata,182997,Nymphalidae
159226,2009-09-20,9531,31.4478481,-110.3069719,Cochise,Adelpha eulalia,67559,Nymphalidae
163377,2007-07-25,3283,31.889218,-109.280405,Cochise,Paramacera xicaque allyni,520442,Nymphalidae
171763,2007-07-29,3283,35.237461,-109.522888,Apache,Callophrys spinetorum,59144,Lycaenidae
171779,2007-07-28,3283,33.998774,-109.553754,Apache,Neophasia menapia,81734,Pieridae
171786,2007-07-24,3283,31.873184,-109.183673,Cochise,Autochton cellus,127928,Hesperiidae
171829,2007-07-24,3283,31.930748,-109.218177,Cochise,Emesis ares,142638,Riodinidae
194956,2003-04-06,9706,32.3030319248,-110.9580646934,Pima,Asterocampa leilia,148793,Nymphalidae
195678,2008-05-18,9706,31.3653772,-110.7739729,Santa Cruz,Texola perse,520375,Nymphalidae
197025,2008-05-19,9706,32.8791243,-109.514904,Graham,Colias eurytheme,58532,Pieridae
248615,2013-04-27,10285,31.4156019,-110.2765277,Cochise,Epargyreus clarus,81559,Hesperiidae
248678,2013-04-27,10285,31.4044991,-110.2967987,Cochise,Epargyreus clarus,81559,Hesperiidae
248680,2013-04-27,10285,31.4044991,-110.2967987,Cochise,Adelpha eulalia,67559,Nymphalidae
249877,2013-04-30,3288,33.7196666667,-111.5113333333,Maricopa,Chlosyne lacinia,68240,Nymphalidae
249881,2013-04-30,3288,33.7216666667,-111.5115,Maricopa,Zerene cesonia,129362,Pieridae
282620,2013-05-20,11015,31.917375,-109.278878,Cochise,Amblyscirtes fimbriata,213338,Hesperiidae
320911,2010-08-28,9531,33.688924,-111.529083,Maricopa,Asterocampa leilia,148793,Nymphalidae
350194,2013-07-26,10285,31.739514,-110.886851,Pima,Chlosyne lacinia,68240,Nymphalidae
350509,2013-07-26,10285,31.539026,-110.755477,Santa Cruz,Hylephila phyleus,50340,Hesperiidae
350510,2013-07-26,10285,31.539026,-110.755477,Santa Cruz,Cogia hippalus,142636,Hesperiidae
350511,2013-07-26,10285,31.539026,-110.755477,Santa Cruz,Battus philenor,49972,Papilionidae
351394,2013-07-27,10285,32.278549,-111.022495,Pima,Danaus gilippus,51743,Nymphalidae
353592,2013-07-26,10285,31.517271,-110.388787,Cochise,Staphylus ceos,132077,Hesperiidae
353594,2013-07-26,10285,31.517271,-110.388787,Cochise,Autochton cellus,127928,Hesperiidae
353602,2013-07-26,10285,31.517271,-110.388787,Cochise,Amblyscirtes cassus,213334,Hesperiidae
364111,2007-06-26,9531,34.916034,-111.731215,Coconino,Adelpha eulalia,67559,Nymphalidae
369853,2010-09-25,9531,31.7612318394,-110.8447551727,Pima,Chlosyne lacinia,68240,Nymphalidae
377951,2013-08-25,9706,32.6513,-109.8131,Graham,Celastrina echo,52484,Lycaenidae
377956,2013-08-25,9706,32.6513,-109.8131,Graham,Vanessa cardui,48548,Nymphalidae
379345,2013-08-26,9706,31.448548,-110.400985,Cochise,Cyllopsis pyracmon,217999,Nymphalidae
380089,2005-09-12,14422,31.428775,-111.190712,Santa Cruz,Papilio pallas,509629,Papilionidae
380575,2013-08-27,9706,32.3516,-110.2433,Cochise,Callophrys gryneus,84239,Lycaenidae
381315,2013-08-27,9706,32.351673,-110.241755,Cochise,Texola perse,520375,Nymphalidae
381317,2013-08-27,9706,32.351564,-110.242613,Cochise,Calephelis nemesis,129363,Riodinidae
381337,2013-08-27,9706,31.7877,-110.6359,Pima,Ministrymon leda,225163,Lycaenidae
381338,2013-08-27,9706,31.7877,-110.6359,Pima,Apodemia palmerii,214020,Riodinidae
381340,2013-08-27,9706,31.7877,-110.6359,Pima,Abaeis nicippe,81727,Pieridae
